,algorithm,data_group,dataset,EQ NB,random_state,target_noise,true_model,# EVALUATIONS,STARTED,FINISHED,symbolic_error,symbolic_fraction,symbolic_error_is_zero,symbolic_error_is_constant,symbolic_fraction_is_constant,sympy_exception,symbolic_solution,symbolic_model,model_size,simplified_symbolic_model,simplified_complexity,mse_test,mae_test,r2_test,r2_zero_test,accuracy_solution
0,PhySO,Feynman,feynman_I_6_2a,0,0,0.01,0.399*exp(-theta**2/2),658332,True,False,0,1,True,True,True,,True,0.398868617980952*(5.38302459229019e-6 + exp(-theta**2))**0.5,12,0.399*exp(-0.5*theta**2),8,1.0370044946979185e-09,2.5090940073216606e-05,0.9999997867068385,0.9999997872471229,True
1,PhySO,Feynman,feynman_I_6_2a,0,1,0.01,0.399*exp(-theta**2/2),814847,True,False,0,1,True,True,True,,True,0.398573583206999*exp(-0.5*theta*(theta + 0.919863147340954) + 0.46067245713106*theta),13,0.399*exp(theta*(0.0009765625 - 0.5*theta)),10,5.072369233216102e-10,2.0317073997474274e-05,0.9999998968395495,0.9999998961054439,True
2,PhySO,Feynman,feynman_I_6_2a,0,2,0.01,0.399*exp(-theta**2/2),419222,True,False,0,1,True,True,True,,True,1.9654090446282e-5 + 0.398980665670552*exp(-0.500020305552215*theta**2),10,0.399*exp(-0.5*theta**2),8,5.718226536205815e-10,2.3325280097537457e-05,0.9999998837652296,0.9999998836986157,True
3,PhySO,Feynman,feynman_I_6_2a,0,3,0.01,0.399*exp(-theta**2/2),421113,True,False,0,1,True,True,True,,True,0.657851515750758*exp((-0.50001210698842*theta**3 - 0.50001210698842*theta)/theta) - 1.59292013662826e-5,18,0.399*exp(-0.5*theta**2),8,1.357878446742703e-10,1.0580560095301676e-05,0.999999972554481,0.9999999724986516,True
4,PhySO,Feynman,feynman_I_6_2a,0,4,0.01,0.399*exp(-theta**2/2),420041,True,False,-0.39898681640625*exp(-theta*(0.5*theta + 0.00101)) + 0.39898681640625*exp(-theta**2/2),exp(0.00101*theta),True,True,True,,True,0.399462677946899*exp(-0.499781759341378*theta**2 - 0.0012691703083347*theta),12,0.399*exp(-theta*(0.5*theta + 0.00101)),11,3.375195381678624e-10,1.4911601212314081e-05,0.9999999313135475,0.9999999320818999,True
5,PhySO,Feynman,feynman_I_6_2,1,0,0.01,0.399*exp(-theta**2/(2*sigma**2))/sigma,994399,True,True,(theta**0.5 - 1.333984375)*exp(-sigma) - 0.121994018554688 + 0.39898681640625*exp(-theta**2/(2*sigma**2))/sigma,0.39898681640625*exp(sigma - theta**2/(2*sigma**2))/(sigma*(-theta**0.5 + 0.121994018554688*exp(sigma) + 1.333984375)),False,False,False,,False,(1.33439595402533 - theta**0.5)*exp(-sigma) + 0.122296824755944,14,-(theta**0.5 - 1.33)*exp(-sigma) + 0.122,13,0.00010456483652841502,0.008093550197120328,0.9423709986898063,0.9418168384171609,False
6,PhySO,Feynman,feynman_I_6_2,1,1,0.01,0.399*exp(-theta**2/(2*sigma**2))/sigma,993433,True,True,-cos(log(90.3 + 1.38*(theta - 1.18*(0.723*theta**0.5 + 1)**0.5)/sigma)**2) + 0.39898681640625*exp(-theta**2/(2*sigma**2))/sigma,0.39898681640625*exp(-theta**2/(2*sigma**2))/(sigma*cos(log(90.3 + 1.38*(theta - 1.18*(0.723*theta**0.5 + 1)**0.5)/sigma)**2)),False,False,False,,False,cos(log(90.3440424902491 - 1.38329209168752*(-theta + 1.17613438504599*(0.722913118645875*theta**0.5 + 1)**0.5)/sigma)**2),26,cos(log(90.3 + 1.38*(theta - 1.18*(0.723*theta**0.5 + 1)**0.5)/sigma)**2),24,0.0001477135532146586,0.00944361252796715,0.9196799035614067,0.9189379746489812,False
7,PhySO,Feynman,feynman_I_6_2,1,2,0.01,0.399*exp(-theta**2/(2*sigma**2))/sigma,994428,True,True,(0.05401611328125*cos(-sigma + 1.05*theta + 3.14) - 0.16900634765625)/theta + 0.39898681640625*exp(-theta**2/(2*sigma**2))/sigma,-0.39898681640625*theta*exp(-theta**2/(2*sigma**2))/(sigma*(0.05401611328125*cos(-sigma + 1.05*theta + 3.14) - 0.16900634765625)),False,False,False,,False,(0.168729779262246 - 0.0537840412511716*cos(-sigma + 1.05378404125117*theta + 3.13717183270549))/theta,17,(0.169 - 0.054*cos(-sigma + 1.05*theta + 3.14))/theta,17,0.00018588159068636963,0.010233642605018559,0.8967769154185513,0.8970129149995486,False
8,PhySO,Feynman,feynman_I_6_2,1,3,0.01,0.399*exp(-theta**2/(2*sigma**2))/sigma,993664,True,True,-0.12799072265625 + (0.121002197265625*theta - 0.2130126953125)/sigma + 0.39898681640625*exp(-theta**2/(2*sigma**2))/sigma,0.39898681640625*exp(-theta**2/(2*sigma**2))/(0.12799072265625*sigma - 0.121002197265625*theta + 0.2130126953125),False,False,False,,False,0.127684287232605 + (0.213136684718616 - 0.120846315950592*theta)/sigma,11,0.128 - (0.121*theta - 0.213)/sigma,12,0.0001384130733574972,0.00918932893341257,0.9236681887160791,0.9232551120144781,False
9,PhySO,Feynman,feynman_I_6_2,1,4,0.01,0.399*exp(-theta**2/(2*sigma**2))/sigma,997354,True,True,-0.131011962890625 - 0.037*(12.38671875*(0.28399658203125*theta - 1)**2 - 3.52001953125)/sigma + 0.39898681640625*exp(-theta**2/(2*sigma**2))/sigma,0.39898681640625*exp(-theta**2/(2*sigma**2))/(0.131011962890625*sigma + 0.458151340484619*(0.28399658203125*theta - 1)**2 - 0.130196034908295),False,False,False,,False,0.130742077876424*(1 + 0.284129207961557*(12.3870599256173*(0.284129207961557*theta - 1)**2 - 3.51952552563797)/sigma)**1.0,22,0.131 + 0.0372243252496022*(12.4*(0.284*theta - 1)**2 - 3.52)/sigma,18,0.0001311482393749169,0.009239875845168341,0.9283326900811382,0.9281609303877234,False
10,PhySO,Feynman,feynman_I_6_2b,2,0,0.01,0.399*exp(-(theta - theta1)**2/(2*sigma**2))/sigma,995211,True,True,-1/(sigma/((theta - theta1)**0.5 - 2.208984375) - 1)**2 + 0.39898681640625*exp(-(theta - theta1)**2/(2*sigma**2))/sigma,0.39898681640625*(sigma/((theta - theta1)**0.5 - 2.208984375) - 1)**2*exp(-(theta - theta1)**2/(2*sigma**2))/sigma,False,False,False,,False,(-1.0*sigma/((theta - theta1)**0.5 - 2.2086203728171) + 1.0)**(-2),18,(sigma/((theta - theta1)**0.5 - 2.21) - 1)**(-2),17,inf,inf,0.0,0.0,False
