,algorithm,data_group,dataset,EQ NB,random_state,target_noise,true_model,# EVALUATIONS,STARTED,FINISHED,symbolic_error,symbolic_fraction,symbolic_error_is_zero,symbolic_error_is_constant,symbolic_fraction_is_constant,sympy_exception,symbolic_solution,symbolic_model,model_size,simplified_symbolic_model,simplified_complexity,mse_test,mae_test,r2_test,r2_zero_test,accuracy_solution
0,PhySO,Feynman,feynman_I_6_2a,0,0,0.0,0.399*exp(-theta**2/2),995581,True,True,0,1,True,True,True,,True,0.398942280401432*exp(-0.5*theta**2),8,0.399*exp(-0.5*theta**2),8,3.813059371358688e-32,inf,1.0,1.0,True
1,PhySO,Feynman,feynman_I_6_2a,0,1,0.0,0.399*exp(-theta**2/2),995832,True,True,0,1,True,True,True,,True,0.398942280401433*exp(-0.5*theta**2),8,0.399*exp(-0.5*theta**2),8,4.812919093102808e-33,inf,1.0,1.0,True
2,PhySO,Feynman,feynman_I_6_2a,0,2,0.0,0.399*exp(-theta**2/2),997602,True,True,0,1,True,True,True,,True,0.398942285897694*exp(-0.500000003547153*theta**2),8,0.399*exp(-0.5*theta**2),8,6.964864849523558e-19,inf,0.9999999999999999,0.9999999999999999,True
3,PhySO,Feynman,feynman_I_6_2a,0,3,0.0,0.399*exp(-theta**2/2),996349,True,True,0,1,True,True,True,,True,0.39894228941228*exp(-0.5*theta**2),8,0.399*exp(-0.5*theta**2),8,5.673226859162538e-18,inf,0.9999999999999989,0.9999999999999989,True
4,PhySO,Feynman,feynman_I_6_2a,0,4,0.0,0.399*exp(-theta**2/2),997679,True,True,0.39898681640625*(1 - I)*exp(-0.5*theta**2),-I,False,False,True,,True,(0.398942280401434*I)*exp(-0.5*theta**2),10,0.399*I*exp(-0.5*theta**2),9,0.01115322545129364,inf,-1.2606773735557444,0.0,False
5,PhySO,Feynman,feynman_I_6_2,1,0,0.0,0.399*exp(-theta**2/(2*sigma**2))/sigma,993333,True,True,(theta**0.5 - 1.333984375)*exp(-sigma) - 0.121994018554688 + 0.39898681640625*exp(-theta**2/(2*sigma**2))/sigma,0.39898681640625*exp(sigma - theta**2/(2*sigma**2))/(sigma*(-theta**0.5 + 0.121994018554688*exp(sigma) + 1.333984375)),False,False,False,,False,(1.33435737594883 - theta**0.5)*exp(-sigma) + 0.122292198410475,14,-(theta**0.5 - 1.33)*exp(-sigma) + 0.122,13,0.00010526904768707029,inf,0.942603848013657,0.9423838356476951,False
6,PhySO,Feynman,feynman_I_6_2,1,1,0.0,0.399*exp(-theta**2/(2*sigma**2))/sigma,994684,True,True,(0.06201171875*sin(sigma - 2*theta) - 0.178009033203125)/theta + 0.39898681640625*exp(-theta**2/(2*sigma**2))/sigma,-0.39898681640625*theta*exp(-theta**2/(2*sigma**2))/(sigma*(0.06201171875*sin(sigma - 2*theta) - 0.178009033203125)),False,False,False,,False,-(0.0622381691474289*sin(1.0*sigma - 2*theta) - 0.177984200378162)/theta,17,(0.178 - 0.062*sin(sigma - 2*theta))/theta,14,0.00013561762512721812,inf,0.9248558665334286,0.9249989668623614,False
7,PhySO,Feynman,feynman_I_6_2,1,2,0.0,0.399*exp(-theta**2/(2*sigma**2))/sigma,996928,True,True,-(sin(-0.26*sigma + 0.26*theta + 1.62) - 0.77099609375)/theta + 0.39898681640625*exp(-theta**2/(2*sigma**2))/sigma,0.39898681640625*theta*exp(-theta**2/(2*sigma**2))/(sigma*(sin(-0.26*sigma + 0.26*theta + 1.62) - 0.77099609375)),False,False,False,,False,-(0.770980797684136 - sin(-0.260091811456411*sigma + 0.260091811456411*theta + 1.62325037346539))/theta,18,(sin(-0.26*sigma + 0.26*theta + 1.62) - 0.771)/theta,15,0.000110286020571458,inf,0.9394492222948848,0.9395302664135456,False
8,PhySO,Feynman,feynman_I_6_2,1,3,0.0,0.399*exp(-theta**2/(2*sigma**2))/sigma,994360,True,True,-0.126007080078125 + 0.126007080078125*theta/sigma - 0.22601318359375/sigma + 0.39898681640625*exp(-theta**2/(2*sigma**2))/sigma,0.39898681640625*exp(-theta**2/(2*sigma**2))/(0.126007080078125*sigma - 0.126007080078125*theta + 0.22601318359375),False,False,False,,False,(0.125531090984501*sigma - 0.125531090984501*theta + 0.226034305397621)/sigma,12,(0.126*sigma - 0.126*theta + 0.226)/sigma,12,0.00014144841743914357,inf,0.9210547516976898,0.9207755393623089,False
9,PhySO,Feynman,feynman_I_6_2,1,4,0.0,0.399*exp(-theta**2/(2*sigma**2))/sigma,995989,True,True,-0.1300048828125 - 0.1409912109375*cos(theta - 0.141)/sigma + 0.39898681640625*exp(-theta**2/(2*sigma**2))/sigma,0.39898681640625*exp(-theta**2/(2*sigma**2))/(0.1300048828125*sigma + 0.1409912109375*cos(theta - 0.141)),False,False,False,,False,0.130468940110726 + 0.140937956823764*cos(theta - 0.140937956823764)/sigma,11,0.13 + 0.141*cos(theta - 0.141)/sigma,11,0.0001200128096735464,inf,0.933427210861514,0.9339005350436129,False
